Id,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,LotFrontage,Total Area,SalePrice
20,7560,5,1958,1965,0,504,525,1029,1339,0,1339,0,1,0,3,1,6,0,1958,1,294,0,0,0,0,0,70,4002,139000
21,14215,8,2005,2006,380,0,1158,1158,1158,1218,2376,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,101,7541,325300
22,7449,7,1930,1950,0,0,637,637,1108,0,1108,0,1,0,3,1,6,1,1930,1,280,0,0,205,0,0,57,3339,139400
23,9742,8,2002,2002,281,0,1777,1777,1795,0,1795,0,2,0,3,1,7,1,2002,2,534,171,159,0,0,0,75,6514,230000
24,4224,5,1976,1976,0,840,200,1040,1060,0,1060,1,1,0,3,1,6,1,1976,2,572,100,110,0,0,0,44,3944,129900
25,8246,5,1968,2001,0,188,204,1060,1060,0,1060,1,1,0,3,1,6,1,1968,1,270,406,90,0,0,0,0,3280,154000
26,14230,8,2007,2007,640,0,1566,1566,1600,0,1600,0,2,0,3,1,7,1,2007,3,890,0,56,0,0,0,110,6354,256300
27,7200,5,1951,2000,0,234,180,900,900,0,900,0,1,0,3,1,5,0,2005,2,576,222,32,0,0,0,60,3045,134800
28,11478,8,2007,2008,200,1218,486,1704,1704,0,1704,1,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,98,6137,306000
29,16321,5,1957,1997,0,1277,207,1484,1600,0,1600,1,1,0,2,1,6,2,1957,1,319,288,258,0,0,0,47,5551,207500
30,6324,4,1927,1950,0,0,520,520,520,0,520,0,1,0,1,1,4,0,1920,1,240,49,0,87,0,0,60,1937,68500
31,8500,4,1920,1950,0,0,649,649,649,668,1317,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,50,3760,40000
32,8544,5,1966,2006,0,0,1228,1228,1228,0,1228,0,1,1,3,1,6,0,1966,1,271,0,65,0,0,0,0,4022,149350
33,11049,8,2007,2007,0,0,1234,1234,1234,0,1234,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,85,4218,179900
34,10552,5,1959,1959,0,1018,380,1398,1700,0,1700,0,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,70,5285,165500
35,7313,9,2005,2005,246,1153,408,1561,1561,0,1561,1,2,0,2,1,6,1,2005,2,556,203,47,0,0,0,60,5738,277500
36,13418,8,2004,2005,132,0,1117,1117,1132,1320,2452,0,3,1,4,1,9,1,2004,3,691,113,32,0,0,0,108,6993,309000
37,10859,5,1994,1995,0,0,1097,1097,1097,0,1097,0,1,1,3,1,6,0,1995,2,672,392,64,0,0,0,112,4421,145000
38,8532,5,1954,1990,650,1213,84,1297,1297,0,1297,0,1,0,3,1,5,1,1954,2,498,0,0,0,0,0,74,5040,153000
39,7922,5,1953,2007,0,731,326,1057,1057,0,1057,1,1,0,3,1,5,0,1953,1,246,0,52,0,0,0,68,3471,109000
40,6040,4,1955,1955,0,0,0,0,1152,0,1152,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,65,2306,82000
41,8658,6,1965,1965,101,643,445,1088,1324,0,1324,0,2,0,3,1,6,1,1965,2,440,0,138,0,0,0,84,4417,160000
42,16905,5,1959,1959,0,967,383,1350,1328,0,1328,0,1,1,2,1,5,2,1959,1,308,0,104,0,0,0,115,4420,170000
43,9180,5,1983,1983,0,747,0,840,884,0,884,1,1,0,2,1,5,0,1983,2,504,240,0,0,0,0,0,3261,144000
44,9200,5,1975,1980,0,280,167,938,938,0,938,1,1,0,3,1,5,0,1977,1,308,145,0,0,0,0,0,2778,130250
45,7945,5,1959,1959,0,179,465,1150,1150,0,1150,1,1,0,3,1,6,0,1959,1,300,0,0,0,0,0,70,3246,141000
46,7658,9,2005,2005,412,456,1296,1752,1752,0,1752,1,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,61,6525,319900
47,12822,7,2003,2003,0,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,2003,2,670,168,43,0,198,0,48,6814,239686
48,11096,8,2006,2006,0,24,1632,1656,1656,0,1656,0,2,0,3,1,7,0,2006,3,826,0,146,0,0,0,84,5942,249700
49,4456,4,1920,2008,0,0,736,736,736,716,1452,0,2,0,2,3,8,0,0,0,0,0,0,102,0,0,33,3744,113000
50,7742,5,1966,1966,0,763,192,955,955,0,955,1,1,0,3,1,6,0,1966,1,386,0,0,0,0,0,66,3253,127000
51,13869,6,1997,1997,0,182,612,794,794,676,1470,0,2,0,3,1,6,0,1997,2,388,0,75,0,0,0,0,4199,177000
52,6240,6,1934,1950,0,0,816,816,816,0,1176,0,1,0,3,1,6,1,1985,2,528,112,0,0,0,0,52,3449,114500
53,8472,5,1963,1963,0,104,0,816,816,0,816,1,1,0,2,1,5,0,1963,2,516,106,0,0,0,0,110,2360,110000
54,50271,9,1981,1987,0,1810,32,1842,1842,0,1842,2,0,1,0,1,5,1,1981,3,894,857,72,0,0,0,68,7352,385000
55,7134,5,1955,1955,0,384,0,384,1360,0,1360,0,1,0,3,1,6,1,1962,2,572,0,50,0,0,0,60,3727,130000
56,10175,6,1964,1964,272,490,935,1425,1425,0,1425,0,2,0,3,1,7,1,1964,2,576,0,0,0,0,0,100,5125,180500
57,2645,8,1999,2000,456,649,321,970,983,756,1739,1,2,1,3,1,7,0,1999,2,480,115,0,0,0,0,24,5503,172500
58,11645,7,2004,2004,0,0,860,860,860,860,1720,0,2,1,3,1,7,0,2004,2,565,0,70,0,0,0,89,4938,196500
59,13682,10,2006,2006,1031,0,1410,1410,1426,1519,2945,0,3,1,3,1,10,1,2006,3,641,192,0,37,0,0,66,9205,438780
60,7200,5,1972,1972,0,632,148,780,780,0,780,0,1,0,2,1,4,0,1973,1,352,196,0,0,0,0,60,2889,124900
61,13072,6,2004,2004,0,941,217,1158,1158,0,1158,1,1,1,3,1,5,0,2006,2,576,0,50,0,0,0,63,4103,158000
62,7200,5,1920,1996,0,0,530,530,581,530,1111,0,1,0,3,1,6,0,1935,1,288,0,0,144,0,0,60,3185,101000
63,6442,8,2006,2006,178,24,1346,1370,1370,0,1370,0,2,0,2,1,6,1,2006,2,484,120,49,0,0,0,44,4943,202500
64,10300,7,1921,1950,0,0,576,576,902,808,1710,0,2,0,3,1,9,0,1990,2,480,12,11,64,0,0,50,4565,140000
65,9375,7,1997,1998,573,739,318,1057,1057,977,2034,1,2,1,3,1,8,0,1998,2,645,576,36,0,0,0,0,6959,219500
66,9591,8,2004,2005,344,0,1143,1143,1143,1330,2473,0,2,1,4,1,9,1,2004,3,852,192,151,0,0,0,76,7631,317000
67,19900,7,1970,1989,287,912,1035,1947,2207,0,2207,1,2,0,3,1,7,1,1970,2,576,301,0,0,0,0,0,7528,180000
68,10665,7,2003,2003,167,1013,440,1453,1479,0,1479,1,2,0,3,1,7,0,2003,2,558,144,29,0,0,0,72,5312,226000
69,4608,4,1945,1950,0,0,747,747,747,0,747,0,1,0,2,1,4,0,1945,1,220,0,0,0,0,0,47,2462,80000
70,15593,7,1953,1953,0,603,701,1304,1304,983,2287,0,2,0,3,1,7,1,1953,2,667,0,21,114,0,0,81,6682,225000
71,13651,7,1973,1973,1115,1880,343,2223,2223,0,2223,1,2,0,3,1,8,2,1973,2,516,300,0,0,0,0,95,8603,244000
72,7599,4,1982,2006,0,565,280,845,845,0,845,1,1,0,2,1,4,0,1987,2,360,0,0,0,0,0,69,2897,129500
73,10141,7,1998,1998,40,0,832,832,885,833,1718,0,2,1,3,1,7,1,1998,2,427,0,94,0,291,0,74,5123,185000
74,10200,5,1954,2003,104,320,404,1086,1086,0,1086,1,1,0,3,1,6,0,1989,2,490,0,0,0,0,0,85,3492,144900
75,5790,3,1915,1950,0,0,840,840,840,765,1605,0,2,0,3,2,8,0,1915,1,379,0,0,202,0,0,60,4633,107400
76,1596,4,1973,1973,0,462,0,462,526,462,988,1,1,0,2,1,5,0,1973,1,297,120,101,0,0,0,21,2958,91000
77,8475,4,1956,1956,0,228,724,952,952,0,952,0,1,0,2,1,4,0,1956,1,283,0,0,0,0,0,0,3140,135750
78,8635,5,1948,2001,0,336,295,672,1072,213,1285,1,1,0,2,1,6,0,1948,1,240,0,0,0,0,0,50,3443,127000
79,10778,4,1968,1968,0,0,1768,1768,1768,0,1768,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,72,5306,136500
80,10440,5,1910,1981,0,0,440,440,682,548,1230,0,1,1,2,1,5,0,1966,2,440,74,0,128,0,0,60,3544,110000
81,13000,6,1968,1968,576,448,448,896,1182,960,2142,0,2,1,4,1,8,1,1968,1,509,0,72,0,252,0,100,6592,193500
82,4500,6,1998,1998,443,1201,36,1237,1337,0,1337,1,2,0,2,1,5,0,1998,2,405,0,199,0,0,0,32,4961,153500
83,10206,8,2007,2007,468,33,1530,1563,1563,0,1563,0,2,0,3,1,6,1,2007,3,758,144,99,0,0,0,78,6160,245000
84,8892,5,1960,1960,66,0,1065,1065,1065,0,1065,0,1,1,3,1,6,0,1974,2,461,74,0,0,0,0,80,3798,126500
85,8530,7,1995,1996,22,0,384,384,804,670,1474,0,2,1,3,1,7,1,1995,2,400,120,72,0,0,0,0,3949,168500
86,16059,8,1991,1992,284,0,1288,1288,1301,1116,2417,0,2,1,4,1,9,1,1991,2,462,127,82,0,0,0,121,7080,260000
87,11911,6,2005,2005,0,0,684,684,684,876,1560,0,2,1,3,1,6,1,2005,2,400,100,38,0,0,0,122,4345,174000
88,3951,6,2009,2009,76,0,612,612,612,612,1224,0,2,1,2,1,4,0,2009,2,528,0,234,0,0,0,40,3901,164500
89,8470,3,1915,1982,0,0,1013,1013,1013,0,1526,0,1,0,2,1,6,0,0,0,0,0,0,156,0,0,105,3709,85000
90,8070,4,1994,1995,0,588,402,990,990,0,990,1,1,0,3,1,5,0,0,0,0,0,0,0,0,0,60,2972,123600
91,7200,4,1950,1950,0,0,0,0,1040,0,1040,0,1,0,2,1,4,0,1950,2,420,0,29,0,0,0,60,2530,109900
92,8500,5,1961,1961,203,600,635,1235,1235,0,1235,0,1,0,2,1,6,0,1961,2,480,0,0,0,0,0,85,4389,98600
93,13360,5,1921,2006,0,713,163,876,964,0,964,1,1,0,2,1,5,0,1921,2,432,0,0,44,0,0,80,3282,163500
94,7200,6,1910,1998,0,1046,168,1214,1260,1031,2291,0,2,0,4,2,9,1,1900,2,506,0,0,0,99,0,60,6403,133900
95,9337,6,1997,1997,0,648,176,824,905,881,1786,1,2,1,3,1,7,0,1997,2,684,0,162,0,0,0,69,5246,204750
96,9765,6,1993,1993,68,310,370,680,680,790,1470,0,2,1,3,1,6,1,1993,2,420,232,63,0,0,0,0,4406,185000
97,10264,7,1999,1999,183,1162,426,1588,1588,0,1588,0,2,0,3,1,6,0,1999,2,472,158,29,0,0,0,78,5608,214000
98,10921,4,1965,1965,48,520,440,960,960,0,960,1,1,0,3,1,6,0,1965,1,432,120,0,0,0,0,73,3482,94750
99,10625,5,1920,1950,0,108,350,458,835,0,835,0,1,0,2,1,5,0,1920,1,366,0,0,77,0,0,85,2572,83000
100,9320,4,1959,1959,0,569,381,950,1225,0,1225,1,1,1,3,1,6,0,0,0,0,352,0,0,0,0,77,3755,128950
101,10603,6,1977,2001,28,1200,410,1610,1610,0,1610,1,2,0,3,1,6,2,1977,2,480,168,68,0,0,0,0,5577,205000
102,9206,6,1985,1985,336,0,741,741,977,755,1732,0,2,1,3,1,7,1,1985,2,476,192,46,0,0,0,77,5258,178000
103,7018,5,1979,1979,0,0,0,0,1535,0,1535,0,2,0,4,2,8,0,1979,2,410,0,0,0,0,0,64,3482,118964
104,10402,7,2009,2009,0,0,1226,1226,1226,0,1226,0,2,0,3,1,6,0,2009,3,740,0,36,0,0,0,94,4456,198900
105,7758,7,1931,1950,600,224,816,1040,1226,592,1818,0,1,1,4,1,7,2,1951,1,240,0,0,0,184,0,0,5702,169500
106,9375,8,2003,2004,768,0,1053,1053,1053,939,1992,0,2,1,3,1,9,1,2003,2,648,140,45,0,0,0,75,6641,250000
107,10800,4,1885,1995,0,0,641,641,1047,0,1047,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,60,3009,100000
108,6000,5,1948,1950,0,104,516,789,789,0,789,0,1,0,2,1,5,0,1948,1,250,0,0,0,0,0,50,2449,115000
109,8500,5,1919,2005,0,0,793,793,997,520,1517,0,2,0,3,1,7,0,0,0,0,0,0,144,0,0,85,3973,115000
110,11751,6,1977,1977,480,705,1139,1844,1844,0,1844,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,105,6682,190000
111,9525,6,1954,1972,0,444,550,994,1216,639,1855,0,2,0,4,1,7,0,1954,1,325,182,0,0,0,0,75,5213,136900
112,7750,7,2000,2000,0,250,134,384,774,656,1430,0,2,1,3,1,7,1,2000,2,400,180,0,0,0,0,0,3827,180000
113,9965,7,2007,2007,220,984,280,1264,1282,1414,2696,1,2,1,4,1,10,1,2007,3,792,120,184,0,168,0,77,8144,383970
114,21000,6,1953,1953,184,35,905,1809,2259,0,2259,1,2,0,3,1,7,2,1953,2,450,166,120,192,0,0,0,6573,217000
115,7259,6,1945,2002,0,774,104,1028,1436,884,2320,1,2,1,3,1,9,1,1945,1,180,224,0,0,0,0,61,5926,259500
116,3230,6,1999,1999,1129,419,310,729,729,729,1458,0,2,1,2,1,5,1,1999,2,440,0,32,0,0,0,34,5249,176000
117,11616,5,1962,1962,116,170,252,1092,1092,0,1092,0,1,0,3,1,6,1,1962,1,288,0,20,144,0,0,0,3175,139000
118,8536,5,2006,2007,0,0,1125,1125,1125,0,1125,0,1,1,2,1,5,0,2007,2,430,80,64,0,0,0,74,3951,155000
119,12376,7,1990,1990,0,1470,203,1673,1699,1523,3222,1,3,0,5,1,11,2,1990,3,594,367,0,0,0,0,90,9082,320000
120,8461,6,2005,2006,0,0,728,728,728,728,1456,0,2,1,3,1,8,1,2005,2,390,0,24,0,0,0,65,4057,163990
121,21453,6,1969,1969,0,938,0,938,988,0,988,1,1,0,1,1,4,2,1969,2,540,0,130,0,0,0,0,3586,180000
122,6060,4,1939,1950,0,0,732,732,772,351,1123,0,1,0,3,1,4,0,1979,1,264,0,0,140,0,0,50,3383,100000
123,9464,6,1958,1958,135,570,510,1080,1080,0,1080,0,1,0,3,1,5,0,1958,1,288,0,0,0,130,0,75,3794,136000
124,7892,6,1993,1993,0,300,899,1199,1199,0,1199,0,2,0,2,1,5,0,1993,2,530,0,63,0,0,0,55,4192,153900
125,17043,6,1979,1998,0,0,1362,1362,1586,0,1586,0,2,0,3,1,7,1,1979,2,435,192,0,0,0,0,48,5163,181000
126,6780,6,1935,1982,0,490,30,520,520,0,754,1,1,0,2,1,5,0,0,0,0,53,0,0,0,0,60,1849,84500
127,4928,6,1976,1976,0,120,958,1078,958,0,958,0,2,0,2,1,5,1,1977,2,440,0,205,0,0,0,0,3641,128000
128,4388,5,1930,1950,0,116,556,672,840,0,840,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,55,2353,87000
129,7590,6,1966,1966,266,512,148,660,660,688,1348,0,1,1,3,1,6,1,1966,2,453,188,108,0,0,0,69,4373,155000
130,8973,5,1958,1991,85,567,413,1008,1053,0,1053,0,1,1,3,1,6,0,1998,2,750,0,80,0,0,0,69,4003,150000
131,14200,7,1966,1966,309,445,479,924,1216,941,2157,0,2,1,4,1,8,2,1966,2,487,105,66,0,0,0,88,6208,226000
132,12224,6,2000,2000,40,695,297,992,1022,1032,2054,1,2,1,3,1,7,1,2000,2,390,24,48,0,0,0,0,5606,244000
133,7388,5,1959,2002,0,405,658,1063,1327,0,1327,1,1,0,3,1,7,0,1974,2,624,0,0,0,0,0,75,4343,150750
134,6853,8,2001,2002,136,1005,262,1267,1296,0,1296,1,2,0,2,1,6,0,2001,2,471,192,25,0,0,0,0,4686,220000
135,10335,5,1968,1993,0,570,891,1461,1721,0,1721,0,2,1,3,1,7,1,1968,2,440,0,96,180,0,0,78,5622,180000
136,10400,7,1970,1970,288,0,1304,1304,1682,0,1682,0,2,0,3,1,7,1,1970,2,530,98,0,0,0,0,80,5586,174000
137,10355,5,1967,1967,196,695,519,1214,1214,0,1214,0,2,0,3,1,5,1,1967,1,318,0,111,0,0,0,0,4269,143000
138,11070,7,1988,1989,70,0,1907,1907,1959,0,1959,0,3,0,5,2,9,0,1989,3,766,0,0,0,0,0,82,6664,171000
139,9066,8,1999,2000,320,668,336,1004,1004,848,1852,0,2,1,3,1,7,2,1999,3,660,224,106,0,0,0,73,6021,230000
140,15426,6,1997,1997,0,821,107,928,928,836,1764,1,2,1,3,1,7,0,1997,2,470,276,99,0,0,0,65,5305,231500
141,10500,4,1971,1971,0,432,432,864,864,0,864,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,70,2593,115000
142,11645,7,2005,2005,0,1300,434,1734,1734,0,1734,1,2,0,3,1,7,0,2005,2,660,160,24,0,0,0,78,6049,260000
143,8520,5,1952,1952,0,507,403,910,910,475,1385,0,2,0,4,1,6,0,2000,2,720,0,0,0,0,0,71,4402,166000
144,10335,7,1999,1999,183,679,811,1490,1501,0,1501,1,2,0,3,1,6,0,1999,2,577,144,29,0,0,0,78,5428,204000
145,9100,5,1963,1963,336,1332,396,1728,1728,0,1728,1,2,0,6,2,10,0,1963,2,504,0,0,0,0,0,70,6027,125000
146,2522,6,2004,2006,50,0,970,970,970,739,1709,0,2,0,3,1,7,0,2004,2,380,0,40,0,0,0,24,4860,130000
147,6120,5,1931,1993,0,209,506,715,875,0,875,1,1,0,2,1,5,0,1931,1,180,48,0,0,0,0,51,2695,105000
148,9505,7,2001,2001,180,0,884,884,884,1151,2035,0,2,1,3,1,8,1,2001,2,434,144,48,0,0,0,0,5763,222500
149,7500,7,2004,2005,120,680,400,1080,1080,0,1080,1,1,0,3,1,6,0,0,0,0,0,0,0,0,0,63,3362,141000
150,6240,5,1936,1950,0,0,896,896,896,448,1344,0,1,0,3,1,7,0,1936,1,240,200,114,0,0,0,0,4139,115000
151,10356,5,1975,1975,0,716,253,969,969,0,969,0,1,1,3,1,5,0,1975,2,440,0,0,0,0,0,120,3349,122000
152,13891,8,2007,2008,436,1400,310,1710,1710,0,1710,1,2,0,2,1,6,1,2007,3,866,0,102,0,0,0,107,6537,372402
153,14803,6,1971,1971,252,416,409,825,1097,896,1993,0,2,1,4,1,8,1,1971,2,495,0,66,0,0,0,0,5627,190000
154,13500,6,1960,1975,0,429,93,1602,1252,0,1252,1,1,0,1,1,4,1,1960,2,564,409,0,0,0,0,0,4001,235000
155,11340,6,1923,1950,0,0,1200,1200,1200,0,1200,0,1,0,4,1,7,0,1923,1,312,0,0,228,0,0,84,4141,125000
156,9600,6,1924,1950,0,0,572,572,572,524,1096,0,1,0,2,1,5,0,0,0,0,0,8,128,0,0,60,2901,79000
157,7200,5,1950,1950,0,0,0,0,1040,0,1040,0,1,0,2,1,5,0,1950,2,625,0,0,0,0,0,60,2706,109500
158,12003,8,2009,2010,84,0,774,774,774,1194,1968,0,2,1,4,1,8,1,2009,3,680,0,75,0,0,0,92,5552,269500
159,12552,7,2004,2005,0,222,769,991,991,956,1947,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,100,5702,254900
160,19378,7,2005,2006,456,57,1335,1392,1392,1070,2462,1,2,1,4,1,9,1,2006,2,576,239,132,0,0,0,134,7723,320000
161,11120,6,1984,1984,0,660,572,1232,1232,0,1232,0,2,0,3,1,6,0,1984,2,516,0,0,0,0,0,0,4214,162500
162,13688,9,2003,2004,664,1016,556,1572,1572,1096,2668,1,2,1,3,1,10,2,2003,3,726,400,0,0,0,0,110,8702,412500
163,12182,7,2005,2005,226,1201,340,1541,1541,0,1541,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,95,5453,220000
164,5500,4,1956,1956,0,0,882,882,882,0,882,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,55,2647,103200
165,5400,6,1926,2004,0,370,779,1149,1149,467,1616,0,2,0,3,1,5,0,1926,1,216,0,0,183,0,0,40,4782,152000
166,10106,5,1940,1999,0,351,112,644,808,547,1355,1,2,0,4,2,6,0,0,0,0,140,0,0,0,0,62,3316,127500
167,10708,5,1955,1993,0,379,470,1617,1867,0,1867,1,1,0,2,1,7,3,1955,1,303,476,0,0,142,0,0,5506,190000
168,10562,8,2007,2007,300,1288,294,1582,1610,551,2161,1,1,1,3,1,8,1,2007,3,789,178,120,0,0,0,86,7294,325624
169,8244,7,2004,2004,0,0,840,840,840,880,1720,0,2,1,3,1,7,1,2004,2,440,100,48,0,0,0,62,4871,183500
170,16669,8,1981,1981,653,0,1686,1686,1707,0,1707,0,2,1,2,1,6,1,1981,2,511,574,64,0,0,0,0,6905,228000
171,12358,5,1941,1950,0,360,360,720,854,0,1382,0,1,1,2,1,7,0,1991,2,660,237,0,0,0,0,0,3855,128500
172,31770,6,1960,1960,112,639,441,1080,1656,0,1656,1,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,141,5306,215000
173,5306,7,1987,1987,0,495,354,1064,1064,703,1767,1,2,0,2,1,5,1,1987,2,504,441,35,0,0,0,44,5366,239000
174,10197,6,1961,1961,491,288,700,1362,1362,0,1362,1,1,1,3,1,6,1,1961,2,504,0,20,0,0,0,80,4730,163000
175,12416,6,1986,1986,132,1398,0,1606,1651,0,1651,1,2,0,3,1,7,1,1986,2,616,192,0,0,0,0,47,5643,184000
176,12615,6,1950,2001,0,477,725,1202,2158,0,2158,1,2,0,4,1,7,1,1950,2,576,0,29,39,0,0,84,6165,243000
177,10029,6,1988,1989,268,831,320,1151,1164,896,2060,0,2,1,4,1,8,1,1988,2,521,0,228,0,192,0,97,6483,211000
178,13650,5,1958,1958,0,57,554,1052,1252,668,1920,1,2,0,4,1,8,1,1958,2,451,0,0,0,0,0,0,4905,172500
179,17423,9,2008,2009,748,1904,312,2216,2234,0,2234,1,2,0,1,1,9,1,2009,3,1166,0,60,0,0,0,63,8661,501837
180,8520,5,1923,2006,0,0,968,968,968,0,968,0,1,0,2,1,5,0,1935,2,480,0,0,184,0,0,60,3569,100000
181,2117,6,2000,2000,456,436,320,756,769,756,1525,0,2,1,3,1,5,1,2000,2,440,0,0,0,0,0,0,4705,177000
182,7588,7,1920,1950,0,352,441,793,901,901,1802,0,1,1,4,1,9,1,1920,1,216,0,0,40,0,0,54,4655,200100
183,9060,5,1957,2006,98,0,0,0,1340,0,1340,0,1,0,3,1,7,1,1957,1,252,116,0,0,0,0,60,3147,120000
184,11426,7,2003,2003,0,0,1362,1362,1362,720,2082,0,2,1,3,1,6,0,2003,2,484,280,238,0,0,0,63,6531,200000
185,7438,5,1908,1991,0,0,504,504,936,316,1252,0,1,0,3,1,5,0,1986,2,576,104,0,0,0,0,92,3689,127000
186,22950,10,1892,1993,0,0,1107,1107,1518,1518,3608,0,2,1,4,1,12,2,1993,3,840,0,260,0,410,0,90,9264,475000
187,9947,7,1990,1991,0,611,577,1188,1217,0,1217,1,2,0,3,1,6,0,1990,2,497,168,27,0,0,0,0,4317,173000
188,10410,5,1916,1987,0,0,660,660,808,704,1656,0,2,1,3,1,8,0,1916,1,180,0,0,0,0,0,60,4011,135000
189,7018,5,1979,1979,275,1086,0,1086,1224,0,1224,2,0,2,2,2,6,2,1979,2,528,120,0,0,0,0,64,4461,153337
190,4923,8,2001,2002,0,1153,440,1593,1593,0,1593,1,1,1,0,1,5,1,2001,2,682,0,120,0,224,0,41,5808,286000
191,10570,8,1932,1994,0,297,556,853,1549,1178,2727,0,2,1,3,1,10,2,1932,2,440,0,74,0,0,0,70,6824,315000
192,7472,7,1972,2004,138,626,99,725,725,754,1479,1,1,1,4,1,7,0,1972,2,484,0,32,0,0,0,0,4340,184000
193,9017,7,1999,1999,0,560,871,1431,1431,0,1431,1,2,0,3,1,6,0,1999,2,666,0,35,0,0,0,68,4997,192000
194,2522,7,2004,2004,50,0,970,970,970,739,1709,0,2,0,3,1,7,0,2004,2,380,0,40,0,0,0,24,4860,130000
195,7180,5,1972,1972,0,390,474,864,864,0,864,0,1,0,3,1,5,0,1989,1,352,0,0,0,0,0,60,2945,127000
196,2280,6,1976,1976,0,566,289,855,855,601,1456,0,2,1,3,1,7,1,1976,2,440,87,0,0,0,0,24,4297,148500
197,9416,7,2007,2007,205,1126,600,1726,1726,0,1726,1,2,0,3,1,8,1,2007,3,786,171,138,0,266,0,79,6747,311872
198,25419,8,1918,1990,0,1036,140,1360,1360,1360,3112,1,2,0,4,1,8,1,1918,2,795,0,16,552,0,512,174,8886,235000
